CENTER NAME,CENTER CODE,STATE,WINNERS,FIRST RUNNER UP,SECOND RUNNER UP,THIRD RUNNER UP,CHAMPIONS,SCORE
Aloha Adyar,1004,Tamil Nadu,2,1,1,2,1,20
Aloha Jawahar Nagar,1021,Tamil Nadu,7,2,4,2,0,44
Aloha Tambaram,1042,Tamil Nadu,5,4,1,6,1,45
Aloha Amma Mandapam - Srirangam,1081,Tamil Nadu,0,1,0,1,0,4
Aloha Neelangarai,1088,Tamil Nadu,3,3,2,2,0,27
Aloha Periya Palayam,1099,Tamil Nadu,2,5,3,3,1,37
Aloha Vidhya Matric,1100,Tamil Nadu,8,6,4,5,3,78
Aloha Rajaji Nagar,1311,Karnataka,1,0,0,1,0,5
Aloha Kumara Park West,1323,Karnataka,0,1,0,0,0,3
"Aloha Court Road, Karkala",1344,Karnataka,0,0,1,2,0,4
MALMARUTHI Belgaum,1356,Karnataka,6,6,1,2,2,56
Aloha Vallalar Salai,1402,Pondicherry,15,8,2,2,7,125
Aloha JN Vyas Colony,1918,Rajasthan,2,1,1,3,1,21
Aloha Mahapura,1937,Rajasthan,0,1,0,0,0,3
Aloha Gunj Bazaar,2033,Maharashtra,0,1,0,0,0,3
Aloha Kupwara,3027,Jammu And Kashmir,1,0,1,0,0,6
Aloha Everonn,3028,Jammu And Kashmir,0,2,1,1,0,9
Aloha Bhilai,3101,Chattisgarh,1,1,0,0,1,12
Aloha Math Chaumuhani,6702,Tripura,1,1,1,0,0,9
Aloha Paradise Chaumuhani,6703,Tripura,2,0,0,1,1,14
Aloha Bardowali,6705,Tripura,1,0,0,0,0,4
Aloha Ambassa,6709,Tripura,0,0,1,0,0,2
Aloha G.B.Centre,6714,Tripura,0,0,0,1,0,1
Aloha Melarmath,6730,Tripura,0,0,0,1,0,1
Aloha City Centre,7501,Madhya Pradesh,3,1,2,2,0,21
Aloha Arera Colony,7502,Madhya Pradesh,0,1,0,2,0,5
Aloha Prahalad Nager,8001,Gujarat,1,0,0,0,0,4
Aloha Jolly Bunglow,8009,Gujarat,1,0,2,0,0,8
Aloha Kamraj,8010,Gujarat,1,2,3,1,0,17
Aloha Ankleshwar - Chauta Polica Chowki,8014,Gujarat,0,1,0,0,0,3
Aloha Vardhari Road,8020,Gujarat,1,1,1,1,1,15
Aloha Drive In Road,8022,Gujarat,0,0,1,0,0,2
Aloha Bhatar,8033,Gujarat,3,1,2,0,1,24
Aloha Pal,8035,Gujarat,0,1,0,0,0,3
Aloha Amreli Center,8036,Gujarat,1,0,2,2,0,10
Aloha Ranchhodnagar,8045,Gujarat,0,0,1,1,0,3
Aloha Mahuva,8049,Gujarat,0,1,0,0,0,3
Aloha Navsari,8050,Gujarat,0,0,1,0,0,2
Aloha Sector -21,8052,Gujarat,0,2,2,0,0,10
Aloha Dahod,8059,Gujarat,0,1,2,0,0,7
Aloha Science City,8063,Gujarat,1,0,1,0,1,11
Aloha Silvassa,8064,Gujarat,1,0,0,1,0,5
Aloha Gurukul,8065,Gujarat,1,0,0,0,0,4
Aloha Sabarmati,8066,Gujarat,0,0,0,2,0,2
Aloha Jahangirpura,8071,Gujarat,0,1,0,0,0,3
Aloha Maninagar,8072,Gujarat,2,2,2,0,0,18
Aloha DKV Colloge,8076,Gujarat,0,0,0,1,0,1
Aloha Naranpura,8078,Gujarat,1,1,0,0,1,12
Aloha Bapunagar,8081,Gujarat,1,0,0,0,0,4
Aloha Kalanala,8082,Gujarat,1,3,2,1,0,18
Aloha Bhaktinager,8085,Gujarat,0,0,2,0,0,4
Aloha Ghatlodiya,8097,Gujarat,0,1,1,0,0,5
Aloha Sepco Township,9013,West Bengal,0,0,1,0,0,2
Aloha Konnagar,9046,West Bengal,1,0,1,1,0,7
Aloha Jalahalli West,1364A,Karnataka,5,3,3,4,1,44
Aloha Bishal Garh,6715A,Tripura,0,0,0,1,0,1
Aloha Ayanavaram,1015A,Tamil Nadu,3,3,4,1,0,30
Aloha Kandivli,1514A,Mumbai,0,0,0,1,0,1
