CENTER NAME,CENTER CODE,STATE,WINNERS,FIRST RUNNER UP,SECOND RUNNER UP,THIRD RUNNER UP,CHAMPIONS,SCORE
Aloha Kamraj,8010,Gujarat,0,0,0,1,0,1
Aloha Bhatar,8033,Gujarat,0,0,1,0,0,2
Aloha Pal,8035,Gujarat,1,0,0,0,0,4
Aloha Adajan Surat,8041,Gujarat,1,1,0,0,0,7
Aloha Ranchhodnagar,8045,Gujarat,2,1,0,2,2,23
Aloha Dahod,8059,Gujarat,0,0,1,0,0,2
Aloha Silvassa,8064,Gujarat,1,1,1,0,0,9
Aloha Gurukul,8065,Gujarat,0,1,0,1,0,4
Aloha Bhaktinager,8085,Gujarat,0,0,1,0,0,2
Aloha Berhampur,9001,West Bengal,0,1,0,0,0,3
