CENTER NAME,CENTER CODE,STATE,WINNERS,FIRST RUNNER UP,SECOND RUNNER UP,THIRD RUNNER UP,CHAMPIONS,SCORE
Aloha Adyar,1004,Tamil Nadu,0,0,1,0,0,2
Aloha Jawahar Nagar,1021,Tamil Nadu,0,0,1,0,0,2
Aloha Periya Palayam,1099,Tamil Nadu,0,0,1,1,0,3
Aloha Vidhya Matric,1100,Tamil Nadu,0,0,2,1,0,5
Aloha Kumara Park West,1323,Karnataka,1,1,0,0,0,7
"Aloha Court Road, Karkala",1344,Karnataka,0,1,1,0,0,5
MALMARUTHI Belgaum,1356,Karnataka,0,1,1,1,0,6
Aloha JN Vyas Colony,1918,Rajasthan,3,2,3,0,0,24
Aloha Gunj Bazaar,2033,Maharashtra,0,0,0,1,0,1
Aloha Kupwara,3027,Jammu And Kashmir,1,1,0,0,0,7
Aloha Everonn,3028,Jammu And Kashmir,1,1,0,2,0,9
Aloha  Chapaguri,5511,Assam,0,1,0,0,0,3
Aloha Paradise Chaumuhani,6703,Tripura,1,1,0,0,0,7
Aloha City Centre,7501,Madhya Pradesh,6,1,3,3,5,61
Aloha Arera Colony,7502,Madhya Pradesh,0,0,0,1,0,1
Aloha Prahalad Nager,8001,Gujarat,2,0,0,0,0,8
Aloha Kamraj,8010,Gujarat,2,1,0,0,1,16
Aloha Vardhari Road,8020,Gujarat,1,1,0,1,1,13
Aloha Drive In Road,8022,Gujarat,1,0,0,0,0,4
Aloha Amreli Center,8036,Gujarat,1,0,0,0,0,4
Aloha Kalawad Road,8040,Gujarat,0,0,1,0,0,2
Aloha Sector -21,8052,Gujarat,3,0,1,1,2,25
Aloha Dahod,8059,Gujarat,0,0,0,1,0,1
Aloha Silvassa,8064,Gujarat,0,1,0,0,0,3
Aloha Sabarmati,8066,Gujarat,1,0,0,0,0,4
Aloha Jahangirpura,8071,Gujarat,1,0,0,0,0,4
Aloha Maninagar,8072,Gujarat,1,3,1,0,0,15
Aloha DKV Colloge,8076,Gujarat,2,2,0,0,0,14
Aloha Bapunagar,8081,Gujarat,0,1,1,1,0,6
Aloha Kalanala,8082,Gujarat,1,0,1,1,0,7
Aloha Bhaktinager,8085,Gujarat,0,0,1,0,0,2
Aloha Berhampur,9001,West Bengal,0,0,0,1,0,1
Aloha Sepco Township,9013,West Bengal,1,0,0,0,0,4
Aloha Konnagar,9046,West Bengal,0,1,1,1,0,6
Aloha Jalahalli West,1364A,Karnataka,1,3,0,2,1,20
Aloha Kandivli,1514A,Mumbai,0,0,1,0,0,2
