CENTER NAME,CENTER CODE,STATE,WINNERS,FIRST RUNNER UP,SECOND RUNNER UP,THIRD RUNNER UP,CHAMPIONS,SCORE
Aloha Jalahalli West,1364A,Karnataka,31,18,12,4,30,356
Aloha JN Vyas Colony,1918,Rajasthan,5,5,1,4,4,61
Aloha Everonn,3028,Jammu And Kashmir,2,1,1,1,2,24
Aloha Amreli Center,8036,Gujarat,2,1,0,0,2,21
Aloha Sector -21,8052,Gujarat,2,0,1,1,2,21
Aloha Neelangarai,1088,Tamil Nadu,1,2,0,3,1,18
MALMARUTHI Belgaum,1356,Karnataka,1,0,3,2,1,17
Aloha Jawahar Nagar,1021,Tamil Nadu,1,1,2,0,1,16
Aloha Vallalar Salai,1402,Pondicherry,1,1,1,0,1,14
Aloha Kamraj,8010,Gujarat,3,0,0,1,0,13
Aloha Pal,8035,Gujarat,1,0,1,0,1,11
Aloha Bishal Garh,6715A,Tripura,1,0,1,0,1,11
Aloha Dharma Nagar,6713A,Tripura,1,0,1,0,1,11
Aloha Paradise Chaumuhani,6703,Tripura,1,0,0,0,1,9
Aloha Nagerjala,6710,Tripura,1,0,0,0,1,9
Aloha Bhatar,8033,Gujarat,1,0,0,0,1,9
Aloha Bapunagar,8081,Gujarat,1,0,0,0,1,9
Aloha Kalanala,8082,Gujarat,0,1,3,0,0,9
Aloha Khavdi - Jamnagar,8096,Gujarat,1,0,0,0,1,9
Aloha Manughat,6716A,Tripura,0,2,0,0,0,6
Aloha Ankleshwar - Chauta Polica Chowki,8014,Gujarat,0,1,0,2,0,5
Aloha Ayanavaram,1015A,Tamil Nadu,0,1,0,2,0,5
Aloha Pulwama,3023,Jammu And Kashmir,0,0,2,0,0,4
Aloha City Centre,7501,Madhya Pradesh,0,1,0,1,0,4
Aloha Tambaram,1042,Tamil Nadu,0,1,0,0,0,3
Aloha G.B.Centre,6714,Tripura,0,1,0,0,0,3
Aloha Jolly Bunglow,8009,Gujarat,0,1,0,0,0,3
Aloha Vardhari Road,8020,Gujarat,0,0,1,1,0,3
Aloha Mahuva,8049,Gujarat,0,1,0,0,0,3
Aloha New Ranip,8091,Gujarat,0,1,0,0,0,3
Aloha Silvassa,8064,Gujarat,0,0,1,0,0,2
Aloha Periya Palayam,1099,Tamil Nadu,0,0,0,1,0,1
Aloha Navsari,8050,Gujarat,0,0,0,1,0,1
Aloha Berhampur,9001,West Bengal,0,0,0,1,0,1
